House_Area;Build;No_of_Bathrooms;No_of_Bedrooms;Garage_Area;Living_Space;Rating;Parking;House_Price
9550;1915;1;3;642;961;5;3;140500
14260;2000;2;4;836;1145;5;3;250000
14115;1993;1;1;480;796;5;2;143000
10084;2004;2;3;636;1694;5;2;277000
10382;1973;2;3;484;1107;6;2;205000
6120;1931;2;2;NaN;1022;5;2;129900
7420;1939;1;2;205;1077;6;1;118000
11200;1965;1;3;384;1040;5;1;130500
11924;2005;3;4;736;1182;5;3;345000
12968;1962;1;2;352;912;6;1;150000
10652;2006;2;3;840;1494;5;3;280500
10920;1960;1;2;352;1253;5;1;157000
6120;1929;1;2;576;854;8;2;132000
11241;1970;1;2;480;1004;7;2;149000
10791;1967;2;2;516;1296;5;2;90000
13695;2004;1;3;576;NaN;5;2;159000
7560;1958;1;3;294;1339;6;1;139000
14215;2005;3;4;853;1158;5;3;325300
7449;1930;1;3;280;1108;7;1;139400
9742;2002;2;3;534;1795;5;2;230000
4224;1976;1;3;572;1060;7;2;129900
8246;1968;1;3;270;1060;8;1;154000
14230;2007;2;3;890;1600;5;3;256300
7200;1951;1;NaN;576;900;7;2;134800
11478;2007;2;3;772;1704;5;3;306000
16321;1957;1;2;319;1600;6;1;207500
6324;1927;1;1;240;520;6;1;68500
8500;1920;1;3;250;649;4;1;40000
8544;1966;1;3;271;1228;6;1;149350
11049;2007;2;3;484;1234;5;2;179900
10552;1959;1;4;447;1700;5;2;165500
7313;2005;2;2;556;1561;5;2;277500
13418;2004;3;4;691;1132;5;3;309000
10859;1994;1;3;672;1097;5;2;145000
8532;1954;1;3;498;1297;6;2;153000
7922;1953;1;3;246;1057;7;1;109000
6040;1955;2;2;0;1152;5;0;82000
8658;1965;2;3;440;1324;5;2;160000
16905;1959;1;2;308;1328;6;1;170000
9180;1983;1;2;504;884;7;2;144000
9200;1975;1;3;308;NaN;6;1;130250
7945;1959;1;3;300;1150;6;1;141000
7658;2005;2;2;576;1752;5;2;319900
12822;2003;1;1;670;1518;5;2;239686
11096;2006;2;3;826;1656;5;3;249700
4456;1920;2;2;0;736;5;0;113000
7742;1966;1;3;386;955;7;1;127000
13869;1997;2;3;388;794;6;2;177000
6240;1934;1;3;528;816;6;2;114500
8472;1963;1;2;516;816;5;2;110000
50271;1981;0;0;894;1842;5;3;385000
7134;1955;1;3;572;1360;5;2;130000
10175;1964;2;3;576;1425;5;2;180500
2645;1999;2;3;480;983;5;Two;172500
11645;2004;2;3;565;860;5;2;196500
13682;2006;3;3;641;1426;5;3;438780
7200;1972;1;2;352;780;7;1;124900
13072;2004;1;3;576;1158;5;2;158000
7599;1982;1;2;360;845;6;2;129500
10141;1998;2;3;427;885;5;2;185000
10200;1954;1;3;490;1086;7;2;144900
5790;1915;2;3;379;840;6;1;107400
1596;1973;1;2;297;526;5;1;91000
8475;1956;1;2;283;952;7;1;135750
8635;1948;1;2;240;1072;5;1;127000
10778;1968;2;4;0;1768;5;0;136500
10440;1910;1;2;440;682;6;Two;110000
13000;1968;2;4;509;1182;6;1;193500
4500;1998;2;2;405;1337;5;2;153500
10206;2007;2;3;758;1563;5;3;245000
8892;1960;1;3;461;1065;5;2;126500
8530;1995;2;3;400;804;5;2;168500
16059;1991;2;4;462;1301;5;2;260000
11911;2005;2;3;400;684;5;2;174000
3951;2009;2;2;528;612;5;2;164500
8470;1915;1;2;0;1013;2;0;85000
8070;1994;1;3;0;990;5;0;123600
7200;1950;1;2;420;1040;5;2;109900
8500;1961;1;2;480;1235;3;2;98600
13360;1921;1;2;432;964;7;2;163500
7200;1910;2;4;506;1260;6;2;133900
9337;1997;2;3;684;905;5;2;204750
9765;1993;2;3;420;680;8;2;185000
10264;1999;2;3;472;1588;5;2;214000
10921;1965;1;3;432;960;5;1;94750
10625;1920;1;2;366;835;5;1;83000
9320;1959;1;3;0;1225;5;0;128950
10603;1977;2;3;480;1610;7;2;205000
9206;1985;2;3;476;977;5;2;178000
7018;1979;2;4;410;1535;5;2;118964
10402;2009;2;3;740;1226;5;3;198900
7758;1931;1;4;240;1226;4;1;169500
9375;2003;2;3;648;1053;5;2;250000
10800;1885;1;2;273;1047;7;1;100000
6000;1948;1;2;250;789;5;1;115000
8500;1919;2;3;0;997;7;0;115000
11751;1977;2;3;546;1844;6;2;190000
9525;1954;2;4;325;1216;4;1;136900
7750;2000;2;3;400;774;5;2;180000
9965;2007;2;4;792;1282;5;3;383970
21000;1953;2;3;450;2259;5;2;217000
7259;1945;2;3;180;1436;8;1;259500
3230;1999;2;2;440;729;5;2;176000
11616;1962;1;3;288;1092;5;1;139000
8536;2006;1;2;430;1125;5;2;155000
12376;1990;3;5;594;1699;5;Three;320000
8461;2005;2;3;390;728;5;2;163990
21453;1969;1;1;540;988;5;2;180000
6060;1939;1;3;264;772;5;1;100000
9464;1958;1;3;288;1080;7;1;136000
7892;1993;2;2;530;1199;5;2;153900
17043;1979;2;3;435;1586;5;2;181000
6780;1935;1;2;0;520;8;0;84500
4928;1976;2;2;440;958;5;2;128000
4388;1930;1;3;0;840;7;0;87000
7590;1966;1;3;453;660;5;2;155000
8973;1958;1;3;750;1053;7;2;150000
14200;1966;2;4;487;1216;6;2;226000
12224;2000;2;3;390;1022;5;2;244000
7388;1959;1;3;624;1327;6;2;150750
6853;2001;2;2;471;1296;5;2;220000
10335;1968;NaN;3;440;1721;6;2;180000
10400;1970;2;3;530;1682;6;2;174000
10355;1967;2;3;318;1214;5;1;143000
11070;1988;3;5;766;1959;5;3;171000
9066;1999;2;3;660;1004;5;3;230000
15426;1997;2;3;470;928;5;2;231500
10500;1971;1;3;0;864;5;0;115000
11645;2005;2;3;660;1734;5;2;260000
8520;1952;2;4;720;910;4;2;166000
10335;1999;2;3;577;1501;5;2;204000
9100;1963;2;6;504;1728;5;2;125000
2522;2004;2;3;380;970;5;2;130000
6120;1931;1;2;180;875;7;1;105000
9505;2001;2;3;434;884;5;2;222500
7500;2004;1;3;0;1080;5;0;141000
6240;1936;1;3;240;896;4;1;115000
10356;1975;1;3;440;969;6;2;122000
13891;2007;2;2;866;1710;5;3;372402
14803;1971;2;4;495;1097;5;2;190000
13500;1960;1;1;564;1252;7;2;235000
11340;1923;1;4;312;1200;5;1;125000
9600;1924;1;2;0;572;5;0;79000
7200;1950;1;2;625;1040;7;2;109500
12003;2009;2;4;680;774;5;3;269500
12552;2004;2;3;678;991;5;2;254900
19378;2005;2;4;576;1392;5;2;320000
11120;1984;2;3;516;1232;6;2;162500
13688;2003;2;3;726;1572;5;3;412500
12182;2005;2;3;532;1541;5;2;220000
5500;1956;1;1;0;882;6;0;103200
5400;1926;2;3;216;1149;7;1;152000
10106;1940;2;4;0;808;7;0;127500
10708;1955;1;2;303;1867;5;1;190000
10562;2007;1;3;789;1610;5;3;325624
8244;2004;2;3;440;840;5;2;183500
16669;1981;2;2;511;1707;6;2;228000
12358;1941;1;2;660;854;6;2;128500
31770;1960;1;3;528;NaN;5;2;215000
5306;1987;2;2;504;1064;7;2;239000
10197;1961;1;3;504;1362;5;2;163000
12416;1986;2;3;616;1651;5;2;184000
12615;1950;2;4;576;2158;7;2;243000
10029;1988;2;4;521;1164;5;2;211000
